Filepath,Id,Ligand_state,SMILES,Error
PDB_URV_DATABASE/Ligand_mol2/7L10_ligand.mol2,7L10,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])c([H])c([H])c([H])c3C#N)c([H])c(-c3c([H])c(Cl)c([H])c(Cl)c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 2 4 11 22 23
PDB_URV_DATABASE/Ligand_mol2/7L11_ligand.mol2,7L11,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])c([H])c([H])c([H])c3C#N)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])C([H])([H])C([H])([H])[H])c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 0 1 17 18 28
PDB_URV_DATABASE/Ligand_mol2/7L12_ligand.mol2,7L12,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])[n+]([H])c(=O)[n+]([H])c3=O)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 1 2 16 17 27
PDB_URV_DATABASE/Ligand_mol2/7L14_ligand.mol2,7L14,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])c([H])c([H])c([H])c3C#N)c([H])c(-c3c([H])c(OC([H])([H])C4([H])C([H])([H])C4([H])[H])c([H])c(Cl)c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 3 12 16 19 27
PDB_URV_DATABASE/Ligand_mol2/7M8M_ligand.mol2,7M8M,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])nc(=O)[n+]([H])c3=O)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])C([H])([H])C([H])([H])[H])c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 0 12 14 25
PDB_URV_DATABASE/Ligand_mol2/7M8N_ligand.mol2,7M8N,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])[n+]([H])c(=O)[n+]([H])c3=O)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])c4c([H])c([H])c([H])c([H])c4C([H])([H])[H])c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 0 20 21 26 28
PDB_URV_DATABASE/Ligand_mol2/7M8O_ligand.mol2,7M8O,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])nc(=O)[n+]([H])c3=O)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])c4c([H])c([H])c([H])c(F)c4[H])c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 2 11 12 17 18
PDB_URV_DATABASE/Ligand_mol2/7M8P_ligand.mol2,7M8P,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])nc(=O)[n+]([H])c3=O)c([H])c(-c3c([H])c(Cl)c(F)c(OC([H])([H])c4c([H])c([H])c([H])c([H])c4Cl)c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 24 26 28 29
PDB_URV_DATABASE/Ligand_mol2/7M8X_ligand.mol2,7M8X,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])c([H])c([H])c([H])c3C#N)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])C([H])([H])OC([H])([H])[H])c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 13 14 23 24 26
PDB_URV_DATABASE/Ligand_mol2/7M8Y_ligand.mol2,7M8Y,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])nc(=O)[n+]([H])c3=O)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 1 20 21 26 34
PDB_URV_DATABASE/Ligand_mol2/7M8Z_ligand.mol2,7M8Z,invalid,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])Oc1c([H])c(Cl)c([H])c(-c2c([H])c(-c3c([H])[n+]([H])c(=O)[n+]([H])c3=O)c([H])[n+](-c3c([H])nc([H])c([H])c3[H])c2=O)c1[H],Can't kekulize mol.  Unkekulized atoms: 1 8 18 19 24
PDB_URV_DATABASE/Ligand_mol2/7M90_ligand.mol2,7M90,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])nc(=O)[n+]([H])c3=O)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])C([H])([H])N4C([H])([H])C(=O)N([H])C([H])([H])C4([H])[H])c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 6 7 11 12 26
PDB_URV_DATABASE/Ligand_mol2/7M91_ligand.mol2,7M91,invalid,[H]c1nc([H])c(-[n+]2c([H])c(-c3c([H])[n+]([H])c(=O)[n+]([H])c3=O)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])C([H])([H])C(F)(F)F)c3[H])c2=O)c([H])c1[H],Can't kekulize mol.  Unkekulized atoms: 0 7 17 21 26
PDB_URV_DATABASE/Ligand_mol2/7N44_ligand.mol2,7N44,invalid,[H]C1=NC(C([H])([H])Oc2c([H])c(Cl)c([H])c(-c3c([H])c(-c4c([H])[n+]([H])c(=O)[n+]([H])c4=O)c([H])[n+](-c4c([H])nc([H])c([H])c4[H])c3=O)c2[H])=C(C([H])([H])[H])S1,Can't kekulize mol.  Unkekulized atoms: 1 3 12 13 17
PDB_URV_DATABASE/Ligand_mol2/7N8C_ligand.mol2,7N8C,invalid,[H]c1c([H])c(N2C([H])([H])C([H])([H])N(C(=O)c3nc(=O)[n+]([H])c(=O)c3[H])C([H])([H])C2([H])[H])c([H])c(Cl)c1Cl,Can't kekulize mol.  Unkekulized atoms: 0 14 15 16
