Filepath,Id,Ligand_state,SMILES,Error
PDB_URV_DATABASE/Ligand_sdf/6M2N_ligand.sdf,6M2N,valid,[H]Oc1c([O-])c([H])c2oc(-c3c([H])c([H])c([H])c([H])c3[H])c([H])c(=O)c2c1O[H],
PDB_URV_DATABASE/Ligand_sdf/6W63_ligand.sdf,6W63,valid,[H]c1nc([H])c([C@]([H])(C(=O)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N(C(=O)c2nc([H])n([H])c2[H])c2c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7AU4_ligand.sdf,7AU4,valid,[H]c1onc(C([H])([H])N2C(=O)N([H])[C@]3(C2=O)c2c([H])c([H])c(Cl)c([H])c2C([H])([H])C3([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7B2J_ligand.sdf,7B2J,valid,[H]c1c([H])c([H])c2c(nnn2C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7B2U_ligand.sdf,7B2U,valid,[H]c1nc([H])c(N2C(=O)N([H])[C@@]([H])(C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2=O)c([H])c1F,
PDB_URV_DATABASE/Ligand_sdf/7B5Z_ligand.sdf,7B5Z,valid,[H]C([H])=C1C([H])([H])C([H])([H])N(C(=O)C([H])([H])n2nnc3c([H])c([H])c([H])c([H])c32)C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7B77_ligand.sdf,7B77,valid,[H]c1oc([H])c(C([H])([H])N(C(=O)C([H])([H])n2nnc3c([H])c([H])c([H])c([H])c32)C([H])([H])C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7E18_ligand.sdf,7E18,valid,[H]c1c([H])c([H])c2sc(C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)c3c([H])c4c(OC([H])([H])[H])c([H])c([H])c([H])c4n3[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]3([H])C(=O)N([H])C([H])([H])C3([H])[H])nc2c1[H],
PDB_URV_DATABASE/Ligand_sdf/7E19_ligand.sdf,7E19,valid,[H]c1c([H])c([H])c(C([H])([H])OC(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)c2nc3c([H])c([H])c([H])c([H])c3s2)C([H])([H])[C@@]2([H])C(=O)N([H])C([H])([H])C2([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7KX5_ligand.sdf,7KX5,valid,[H]c1nc([H])c([C@]([H])(C(=O)N([H])[C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])N(C(=O)c2oc([H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])c([H])c1[H],
